date,uci,usd_uzs,trading_volume,trading_value,log_uci,log_fx,r_uci,r_fx,zero_return_uci,zero_volume_uci,zero_value_uci,post_reform
2018-08-10,1051.73,7783.05,358070,314832141.81,6.958191706363987,8.959703571196751,-2.089770122247625,-0.11338735963537516,0,0,0,1
2018-08-17,1066.82,7790.2,2699913,3934595751.8,6.972437539788667,8.960621812476173,1.424583342468022,0.09182412794217498,0,0,0,1
2018-08-24,1060.68,7803.79,1569108,1519055239.45,6.966665490860857,8.962364792103648,-0.577204892781058,0.17429796274743836,0,0,0,1
2018-08-31,1063.62,7827.23,27185953,19114056650.25,6.969433463253748,8.965363958833679,0.27679723928910605,0.2999166730031533,0,0,0,1
2018-09-07,1063.74,7842.93,16630981,240195468.65,6.969546279138344,8.967367768016647,0.01128158845959959,0.20038091829679416,0,0,0,1
2018-09-14,1059.16,7862.17,7635694,12448219787.33,6.9652314201192,8.969817928744725,-0.43148590191437464,0.24501607280775772,0,0,0,1
2018-09-21,1056.59,8039.0,17171298,4495950192.719999,6.962802020365913,8.99205997632796,-0.24293997532867095,2.2242047583235447,0,0,0,1
2018-09-28,1060.51,8079.28,21789300,22318516542.3,6.96650520347466,8.997058038633815,0.37031831087466216,0.49980623058552,0,0,0,1
2018-10-05,1041.79,8179.66,10015293,4033142896.46,6.948695666493665,9.009405863940776,-1.7809536980994523,1.2347825306960658,0,0,0,1
2018-10-12,1027.13,8181.08,12791980,11885831404.3,6.934523784196179,9.00957945022154,-1.4171882297486782,0.01735862807645816,0,0,0,1
2018-10-19,1026.25,8208.04,9696864,2302922621.42,6.933666660766638,9.012869440693024,-0.08571234295402519,0.32899904714831507,0,0,0,1
2018-10-26,1033.05,8226.1,301860581,10607263110.6,6.940270870658817,9.015067305293186,0.6604209892178581,0.21978646001628022,0,0,0,1
2018-11-02,1034.86,8236.87,85536387,30416695052.85,6.942021430849756,9.01637569637164,0.1750560190939332,0.13083910784530417,0,0,0,1
2018-11-09,1049.64,8249.97,562996461,12135461310.76,6.956202527219764,9.017964842958479,1.418109637000775,0.15891465868396182,0,0,0,1
2018-11-16,1049.87,8271.27,24454388,18075674986.82,6.956421625962728,9.020543343337552,0.02190987429635527,0.25785003790730343,0,0,0,1
2018-11-23,868.22,8277.53,11020658,12985948298.18,6.766445138766946,9.021299893697527,-18.99764871957812,0.07565503599753498,0,0,0,1
2018-11-30,859.31,8299.2,31632038,27692626398.5,6.756129741630725,9.023914403597136,-1.0315397136221094,0.26145098996082083,0,0,0,1
2018-12-07,859.04,8314.85,17434015,6114830769.9,6.755815486674259,9.025798351776999,-0.03142549564660868,0.18839481798629265,0,0,0,1
2018-12-14,856.74,8312.64,18213035,26566443549.629997,6.753134488670259,9.025532526927545,-0.26809980040001236,-0.02658248494533666,0,0,0,1
2018-12-21,856.03,8325.59,10170067,7135367188.259999,6.752305422256592,9.027089183208293,-0.0829066413666979,0.1556656280747859,0,0,0,1
2018-12-28,854.54,8339.55,5016990,22650570818.3,6.75056331246063,9.028764537062537,-0.17421097959617882,0.16753538542442215,0,0,0,1
2019-01-04,858.25,8336.25,207879,143068601.76,6.754895432337801,9.028368753946516,0.4332119877171081,-0.03957831160210645,0,0,0,1
2019-01-11,858.84,8337.07,1906821,736601735.66,6.755582641538506,9.028467114680991,0.06872092007048636,0.009836073447466731,0,0,0,1
2019-01-18,315.53,8356.18,178770069,2300329152.13,5.754253764624003,9.030756663851816,-100.13288769145036,0.22895491708254667,0,0,0,1
2019-01-25,326.29,8378.18,17297677,410225133.82,5.7877865564854645,9.033385986117436,3.3532791861461853,0.2629322265619294,0,0,0,1
2019-02-01,330.85,8384.94,5378484,547165897.4300001,5.801665100458068,9.034192518596646,1.3878543972603907,0.08065324792099204,0,0,0,1
2019-02-08,345.54,8401.53,4174794,814571378.6,5.8451084107466365,9.036169111102552,4.344331028856807,0.1976592505906538,0,0,0,1
2019-02-15,344.33,8395.15,7966017,4972720575.190001,5.841600499862562,9.035409437130454,-0.3507910884074761,-0.0759673972098085,0,0,0,1
2019-02-22,345.43,8392.2,2814429,1770501987.5899997,5.84479001776017,9.035057982013313,0.31895178976082406,-0.035145511714063105,0,0,0,1
2019-03-01,341.47,8403.19,2821622,569002585.64,5.833259827421407,9.036366674644865,-1.1530190338763013,0.13086926315519776,0,0,0,1
2019-03-08,342.79,8392.96,2407115,1104041022.1100001,5.83711801476954,9.035148538195145,0.3858187348132702,-0.12181364497205749,0,0,0,1
2019-03-15,606.26,8374.1,3765550,6875854332.829999,6.407308936961015,9.032898888232172,57.01909221914754,-0.2249649962973166,0,0,0,1
2019-03-22,609.13,8378.04,2078283,5653426806.009999,6.412031709625774,9.03336927590475,0.47227726647589563,0.04703876725784539,0,0,0,1
2019-03-29,610.84,8389.97,17542609,10641118411.58,6.4148350590849805,9.03479222376952,0.2803349459206572,0.1422947864769597,0,0,0,1
2019-04-05,613.03,8419.62,14915608,1329190501.5500002,6.418413874379816,9.038319975576623,0.357881529483528,0.35277518071037406,0,0,0,1
2019-04-12,619.74,8451.37,45885920,9405052134.45,6.429300035246597,9.042083837387057,1.0886160866781402,0.3763861810433866,0,0,0,1
2019-04-19,1376.46,8455.37,10758768,10680301037.02,7.227270264952298,9.042557021463306,79.7970229705701,0.047318407624885594,0,0,0,1
2019-04-26,1377.19,8441.36,105482226,11702553505.35,7.227800470328509,9.040898712049518,0.0530205376210624,-0.16583094137878618,0,0,0,1
2019-05-03,625.02,8445.49,11146432,1388726477.6000001,6.4377836492244125,9.04138785005718,-79.00168211040963,0.04891380076621488,0,0,0,1
2019-05-10,628.93,8448.89,2333161,2504282866.54,6.4440199627491515,9.04179035077587,0.6236313524738968,0.04025007186889695,0,0,0,1
2019-05-17,616.98,8458.16,8049908,4970186214.22,6.424836608469154,9.042886934855165,-1.918335427999729,0.10965840792955817,0,0,0,1
2019-05-24,608.37,8460.92,6971000,2001985169.63,6.410783249504682,9.043213193732655,-1.4053358964472018,0.03262588774894937,0,0,0,1
2019-05-31,625.31,8485.91,593355,373940944.04,6.438247526769061,9.046162420002517,2.7464277264378723,0.29492262698624927,0,0,0,1
2019-06-07,624.63,8513.57,51700138,3233756640.12,6.437159474435212,9.04941664006217,-0.10880523338485659,0.32542200596523685,0,0,0,1
2019-06-14,624.94,8518.68,150811322,3233446821.9900002,6.437655645128107,9.05001667824307,0.04961706928945375,0.060003818090059724,0,0,0,1
2019-06-21,621.04,8535.74,3327214,4772597168.25,6.431395492097425,9.052017333286207,-0.6260153030681614,0.20006550431368453,0,0,0,1
2019-06-28,621.84,8562.34,4773244,1200236743.22,6.432682824921964,9.055128796264507,0.1287332824539078,0.3111462978299784,0,0,0,1
2019-07-05,635.67,8574.74,8795149,585647094.8,6.45467956075705,9.05657595087475,2.199673583508588,0.1447154610243473,0,0,0,1
2019-07-12,635.08,8578.36,11421784,764761100.49,6.453750975209311,9.05699803202087,-0.09285855477392246,0.042208114611952396,0,0,0,1
2019-07-19,631.43,8584.5,2365546,1102547633.12,6.44798708845731,9.057713530517267,-0.576388675200068,0.07154984963975153,0,0,0,1
2019-07-26,628.31,8624.51,789324298,5458189215.47,6.443033675245955,9.062363428691517,-0.495341321135534,0.4649898174250211,0,0,0,1
2019-08-02,626.6,8666.71,47992928,857755125.79,6.4403083785180915,9.067244528323009,-0.272529672786348,0.48810996314916366,0,0,0,1
2019-08-09,609.35,8704.87,70974172,69676572425.52,6.412392815269511,9.071637918144768,-2.7915563248580355,0.4393389821759186,0,0,0,1
2019-08-16,610.35,9061.0,21059141,13572436764.64,6.414032563115809,9.11173476822206,0.16397478462977233,4.0096850077292245,0,0,0,1
2019-08-23,628.44,9384.0,13949173,3869068170.4,6.443240558079396,9.146761390333312,2.9207994963587502,3.5026622111251626,0,0,0,1
2019-08-30,631.4,9373.93,649776,1427419947.2,6.447939576123892,9.145687710991574,0.469901804449524,-0.10736793417382984,0,0,0,1
2019-09-06,628.14,9384.57,8060108,8244783256.940001,6.442763071559319,9.14682213017659,-0.5176504564572859,0.11344191850160001,0,0,0,1
2019-09-13,632.61,9395.63,6746646,4448948921.07,6.4498541185240335,9.147999966544532,0.7091046964714742,0.11778363679422199,0,0,0,1
2019-09-20,632.97,9411.3,102692285,1781682715.82,6.4504230276561465,9.149666373940763,0.056890913211304905,0.16664073962306958,0,0,0,1
