date,dataset,variable,window,q,variance_ratio,z_robust,p_robust,reject_5pct_robust
2024-12-13,daily_fx,r_fx,500,4,0.894837817504027,-1.2196912066954197,0.22258195626262411,False
2024-12-14,daily_fx,r_fx,500,4,0.8941181399357954,-1.2284468194073301,0.21927928137443375,False
2024-12-16,daily_fx,r_fx,500,4,0.8961650414220067,-1.2006913809951023,0.2298709387250495,False
2024-12-17,daily_fx,r_fx,500,4,0.8952335153930744,-1.2127286707166578,0.22523357442366088,False
2024-12-18,daily_fx,r_fx,500,4,0.8949374919985967,-1.2166104044754784,0.223752482203871,False
2024-12-19,daily_fx,r_fx,500,4,0.8953842765157525,-1.2125972686963986,0.2252838336625964,False
2024-12-20,daily_fx,r_fx,500,4,0.8989406558054656,-1.1685983007551348,0.24256551319554776,False
2024-12-23,daily_fx,r_fx,500,4,0.9008967840645271,-1.1436056749284758,0.25278720712597424,False
2024-12-24,daily_fx,r_fx,500,4,0.9039739259548158,-1.1063869357655987,0.2685590776539064,False
2024-12-25,daily_fx,r_fx,500,4,0.903362089145544,-1.113133546776414,0.26565107783817,False
2024-12-26,daily_fx,r_fx,500,4,0.896567751120253,-1.1908643290600063,0.23370684998059632,False
2024-12-27,daily_fx,r_fx,500,4,0.8901308834431232,-1.263778507158135,0.20630953759546378,False
2025-01-03,daily_fx,r_fx,500,4,0.8840832454409492,-1.330490299533755,0.18335678035547076,False
2025-01-04,daily_fx,r_fx,500,4,0.8839799805365077,-1.3288633087950943,0.18389307083045692,False
2025-01-06,daily_fx,r_fx,500,4,0.8833896514232683,-1.3352314520284243,0.18180060585540692,False
2025-01-07,daily_fx,r_fx,500,4,0.8838081876502074,-1.3284569804981576,0.18402718630894954,False
2025-01-08,daily_fx,r_fx,500,4,0.8795422422758976,-1.3770091290823523,0.16850942539620695,False
2025-01-09,daily_fx,r_fx,500,4,0.8764175091039654,-1.4112508982849306,0.15817064704225725,False
2025-01-10,daily_fx,r_fx,500,4,0.8700341878872636,-1.487537971777719,0.13687278209142395,False
